id,value
google,
google.13,
google.13.reasons,
google.13.reasons.Why,0
google.13.reasons.WhySeason4,0
google.13.reasons.WhyCast,0
google.13.reasons.WhySeason3,0
google.13.reasons.WhySeason4Cast,0
google.13.reasons.WhySeason5,0
google.13.reasons.WhyDiego,0
google.8,
google.8.can,
google.8.can.Wait,0
google.anne,
google.anne.frank,
google.anne.frank.WroteHerFamousDiaryEntriesInTheFormOfLettersAddressedToWhichName?,0
google.can,
google.can.am,
google.can.am.Maverick,0
google.can.am.Spyder,0
google.can.am.Ryker,0
google.can.dogs,
google.can.dogs.EatBananas,0
google.can.dogs.EatGrapes,0
google.can.dogs.EatPeaches,0
google.can.dogs.EatTuna,0
google.can.we,
google.can.we.GoToHeavenWithTattoos,0
google.can.you,
google.can.you.GetCovidTwice,0
google.can.you.GetPregnantOnYourPeriod,0
google.can.you.GetCoronavirusTwice,0
google.can.you.GetCovid-19Twice,0
google.can.you.GetCovid19Twice,0
google.can.you.SeeTheCat,0
google.can.you.DrinkDistilledWater,0
google.catch,
google.catch.me,
google.catch.me.IfYouCan,0
google.house,
google.house.wine,
google.house.wine.Can,0
google.how,
google.how.did,
google.how.did.BruceLeeDie,0
google.how.do,
google.how.do.LobstersCommunicate,0
google.how.long,
google.how.long.ToBoilEggs,0
google.how.many,
google.how.many.OuncesInAGallon,0
google.how.many.OuncesInACup,0
google.how.much,
google.how.much.IsThePs5,0
google.how.much.HouseCanIAfford,0
google.how.much.WillThePs5Cost,0
google.how.much.HouseCanIAfford,0
google.how.much.HomeCanIAfford,0
google.how.old,
google.how.old.IsDonaldTrump,0
google.how.old.IsJoeBiden,0
google.how.to,
google.how.to.Make,0
google.how.to.DeleteInstagram,0
google.how.to.ResetIphone,0
google.how.to.DeleteFacebook,0
google.how.to.TrainYourDragon,0
google.how.to.DeleteApps,0
google.how.to.DeactivateInstagram,0
google.how.to.DeleteAnInstagramAccount,0
google.how.to.GetRidOfFruitFlies,0
google.how.to.CutAWatermelon,0
google.how.to.GetRidOfAHickey,0
google.how.to.CleanStrawberries,0
google.i,
google.i.understand,
google.i.understand.IWillNeverUnderstand,0
google.i.understand.ThatIWillNeverUnderstand,0
google.justin,
google.justin.13,
google.justin.13.ReasonsWhy,0
google.monty,
google.monty.13,
google.monty.13.ReasonsWhy,0
google.new,
google.new.will,
google.new.will.FerrellMovie,0
google.so,
google.so.will,
google.so.will.I,0
google.space,
google.space.force,
google.space.force.WhyIsWifeInJail,0
google.the,
google.the.eiffel,
google.the.eiffel.TowerWasOriginallyIntendedToStandInWhichCity?,0
google.the.manny,
google.the.manny.WillNotBeTelevised,0
google.the.room,
google.the.room.WhereItHappened,0
google.things,
google.things.to,
google.things.to.DoWhenBored,0
google.thirteen,
google.thirteen.reasons,
google.thirteen.reasons.Why,0
google.trump,
google.trump.will,
google.trump.will.Win,0
google.what,
google.what.day,
google.what.day.IsIt,0
google.what.day.IsFathersDay,0
google.what.does,
google.what.does.DefundThePoliceMean,0
google.what.does.Fuck12Mean,0
google.what.does.AntebellumMean,0
google.what.is,
google.what.is.Juneteenth,0
google.what.is.Antifa,0
google.what.is.TheTemperature,0
google.what.is.Covid19,0
google.what.is.MyIp,0
google.what.is.BlackoutTuesday,0
google.what.is.Daca,0
google.what.is.Noose,0
google.what.is.MartialLaw,0
google.what.is.ANoose,0
google.what.is.Fascism,0
google.what.is.Pansexual,0
google.what.is.Chaz,0
google.what.is.Acab,0
google.what.is.Oan,0
google.what.is.SystemicRacism,0
google.what.time,
google.what.time.IsIt,0
google.what.to,
google.what.to.Watch,0
google.what.we,
google.what.we.DoInTheShadows,0
google.when,
google.when.are,
google.when.are.TaxesDue,0
google.when.are.2020TaxesDue,0
google.when.are.TaxesDueIn2020,0
google.when.calls,
google.when.calls.TheHeart,0
google.when.do,
google.when.do.ApScoresComeOut,0
google.when.does,
google.when.does.UnemploymentEnd,0
google.when.does.SummerStart,0
google.when.does.Ios14ComeOut,0
google.when.fathers,
google.when.fathers.Day,0
google.when.i,
google.when.i.Work,0
google.when.is,
google.when.is.FathersDay,0
google.when.is.Fathers2020,0
google.when.is.Summer,0
google.when.is.FathersDay2020,0
google.when.is.Fall,0
google.when.is.FathersDayUsa2020,0
google.when.is.Juneteenth,0
google.when.is.FathersDayIn2020,0
google.when.is.NationalBestFriendsDay,0
google.when.is.SummerSolstice,0
google.when.is.Ios14ComingOut,0
google.when.is.TheSummerSolstice,0
google.when.they,
google.when.they.SeeUs,0
google.when.to,
google.when.to.Work,0
google.where,
google.where.am,
google.where.am.I,0
google.where.can,
google.where.can.IGetTestedForCovid19,0
google.where.can.IGetTestedForTheCoronavirus,0
google.where.do,
google.where.do.IVote,0
google.where.do.WeGoFromHere,0
google.where.is,
google.where.is.MyStimulus,0
google.where.is.MyStimulusCheck,0
google.where.is.MyRefund,0
google.where.is.TheLove,0
google.where.is.Yellowstone,0
google.where.is.YourSoulmateFilter,0
google.where.is.YellowstoneFilmed,0
google.where.is.SaharaDesert,0
google.where.is.TheDustStormNow,0
google.where.is.TheSaharaDesert,0
google.where.is.Moldova,0
google.where.my,
google.where.my.StimulusCheck,0
google.where.my.Refund,0
google.where.the,
google.where.the.HeartIs,0
google.where.the.CrawdadsSing,0
google.where.to,
google.where.to.GetTestedForCovid,0
google.where.to.GetTestedForCovid-19,0
google.where.to.DonateBlm,0
google.where.to.WatchKingOfStatenIsland,0
google.which,
google.which.avatar,
google.which.avatar.CharacterAreYou,0
google.which.bank,
google.which.bank.IsTheBest,0
google.which.bender,
google.which.bender.AreYou,0
google.which.city,
google.which.city.WasScheduledToHostThe2020SummerOlympics?,0
google.which.country,
google.which.country.HasThreeCapitalCities,0
google.which.harry,
google.which.harry.PotterHouseAmI,0
google.which.presidents,
google.which.presidents.OwnedSlaves,0
google.which.private,
google.which.private.ExpressionOfLove,0
google.which.private.ExpressionOfLoveDoYouMostRepresentQuiz,0
google.which.song,
google.which.song.HasMadeTheMostInRoyalties?,0
google.which.state,
google.which.state.WasOriginallyKnownAsColumbia?,0
google.which.state.WasOriginallyKnownAsColumbia,0
google.which.state.CapitalIsNamedAfterAFamousGermanStatesman?,0
google.which.urshifu,
google.which.urshifu.IsBetter,0
google.which.vs,
google.which.vs.That,0
google.which.wich,
google.which.wich.Menu,0
google.which.wich.NearMe,0
google.who,
google.who.covid,
google.who.covid.19,0
google.who.died,
google.who.died.In13ReasonsWhy,0
google.who.died.In13ReasonsWhy,0
google.who.dies,
google.who.dies.In13ReasonsWhy,0
google.who.dies.In13ReasonsWhy,0
google.who.funds,
google.who.funds.BlackLivesMatter,0
google.who.is,
google.who.is.GeorgeFloyd,0
google.who.is.Antifa,0
google.who.is.CandaceOwens,0
google.who.is.AuntJemima,0
google.who.is.AntifaInUsa,0
google.who.killed,
google.who.killed.GeorgeFloyd,0
google.who.killed.Bryce,0
google.who.killed.GeorgeLoyd,0
google.who.owns,
google.who.owns.DaveAndBusters,0
google.who.started,
google.who.started.BlackLivesMatter,0
google.who.was,
google.who.was.GeorgeFloyd,0
google.who.was.AuntJemima,0
google.why,
google.why.does,
google.why.does.MyStomachHurt,0
google.why.dont,
google.why.dont.We,0
google.why.is,
google.why.is.ItCalledJuneteenth,0
google.why.men,
google.why.men.LoveBitches,0
google.why.was,
google.why.was.GeorgeArrested,0
google.why.was.GeorgeFloydStopped,0
google.why.was.GeorgeFloydArrested,0
google.why.was.DrDisrespectBanned,0
google.will,
google.will.and,
google.will.and.Grace,0
google.will.and.Jada,0
google.will.and.JadaSmith,0
google.will.cain,
google.will.cain.LeavingEspn,0
google.will.ferrell,
google.will.ferrell.Eurovision,0
google.will.ferrell.Netflix,0
google.will.i,
google.will.i.Am,0
google.will.there,
google.will.there.BeASecondStimulus,0
google.will.there.BeASecondStimulusCheck,0
google.will.there.BeAnotherStimulus,0
google.winston,
google.winston.13,
google.winston.13.ReasonsWhy,0
google.zach,
google.zach.13,
google.zach.13.ReasonsWhy,0
